sector,subsector,component,unit,year,value,datatype
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2016,-9.1,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2016,1595,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2016,8,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2016,1285,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2016,9.1,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2016,24.95,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2016,-37,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2016,787,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2016,9,Actual
Other memo items,Population,Population,"Million, Level",2016,11.5,Actual
Other memo items,Population,Annual change in population,%,2016,1.8,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2016,748,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2016,41.1,Actual
Other memo items,Laborforce,Working age population,16+ years,2016,6573248,Actual
Other memo items,Laborforce,Labour force participation rate,%,2016,50.6,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2017,7621,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2017,9166,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2017,7694,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2017,2027,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2017,1330,Actual
Real Sector,GDP and components,Services,Constant prices,2017,3684,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2017,7.5,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2017,0.7,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2017,4.8,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2017,34.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2017,7.3,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2017,27.4,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2017,23.2,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2017,0.2,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2017,23,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2017,1040.5,Actual
External sector,Exports,Exports of services,"Million USD, Level",2017,863.4,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2017,1904,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2017,20.8,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2017,2014.4,Actual
External sector,Imports,Imports of services,"Million USD,Level",2017,1046.8,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2017,3061,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2017,33.4,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2017,-974,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2017,-10.6,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2017,-851,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2017,-9.3,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2017,274,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2017,3,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2017,4.16,Actual
External sector,Tourism,Tourism Receipts,"Million USD, Level",2017,381.1,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2017,4.2,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2017,26,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2017,5.4,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2017,20.3,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2017,1615.8,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2017,22.3,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2017,1052.420556,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2017,14.5,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2017,330.2,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2017,4.6,Actual
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2017,1930.3,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2017,26.7,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2017,1323.5,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2017,18.3,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2017,-314.6,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2017,-4.7,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2017,-9.28,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2017,1792,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2017,12,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2017,1439,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2017,13.9,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2017,69.33,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2017,178,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2017,831,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2017,6,Actual
Other memo items,Population,Population,"Million, Level",2017,11.8,Actual
Other memo items,Population,Annual change in population,%,2017,2.4,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2017,777,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2017,0.434459791,Actual
Other memo items,Laborforce,Working age population,16+ years,2017,6812978,Actual
Other memo items,Laborforce,Labour force participation rate,%,2017,52.9,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2018,8310,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2018,9651,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2018,8350,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2018,2151,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2018,1445,Actual
Real Sector,GDP and components,Services,Constant prices,2018,4041,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2018,0.9,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2018,1.1,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2018,1.4,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2018,34.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2018,8.2,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2018,26.6,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2018,23.4,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2018,0.1,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2018,23.3,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2018,1129.6,Actual
External sector,Exports,Exports of services,"Million USD, Level",2018,913.6,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2018,2043,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2018,21.2,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2018,2284.1,Actual
External sector,Imports,Imports of services,"Million USD,Level",2018,1053.4,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2018,3338,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2018,34.6,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2018,-1155,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2018,-12,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2018,-955,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2018,-9.9,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2018,366.2,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2018,3.8,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2018,4.06,Actual
External sector,Tourism,Tourism Receipts,"Million USD, Level",2018,392,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2018,4.5,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2018,28,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2018,5.5,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2018,22.5,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2018,1820.4,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2018,22.8,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2018,1198.973442,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2018,15,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2018,358.9,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2018,4.5,Actual
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2018,2117.7,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2018,26.5,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2018,1436.9,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2018,18,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2018,-297.3,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2018,-4.4,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2018,-8.9,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2018,2071,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2018,16,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2018,1599,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2018,10.8,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2018,8.5,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2018,-88,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2018,861,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2018,4,Actual
Other memo items,Population,Population,"Million, Level",2018,12.1,Actual
Other memo items,Population,Annual change in population,%,2018,2.5,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2018,798,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2018,46.04208728,Actual
Other memo items,Laborforce,Working age population,16+ years,2018,3778996,Actual
Other memo items,Laborforce,Labour force participation rate,%,2018,55.5,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2019,9461,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2019,10498,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2019,9138,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2019,2259,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2019,1684,Actual
Real Sector,GDP and components,Services,Constant prices,2019,4376,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2019,4.2,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2019,6.7,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2019,2.4,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2019,34.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2019,8.7,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2019,26,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2019,22.3,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2019,-1,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2019,23.3,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2019,1239.7,Actual
External sector,Exports,Exports of services,"Million USD, Level",2019,1015,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2019,2255,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2019,21.5,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2019,2704.6,Actual
External sector,Imports,Imports of services,"Million USD,Level",2019,1032.5,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2019,3737,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2019,35.6,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2019,-1465,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2019,-14,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2019,-1225,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2019,-11.7,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2019,263.2,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2019,2.5,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2019,4.36,Actual
External sector,Tourism,Tourism Receipts,"Million USD, Level",2019,458,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2019,5.9,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2019,32,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2019,6.5,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2019,25.5,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2019,2065,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2019,23.5,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2019,1402.522258,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2019,16,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2019,394.8,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2019,4.5,Actual
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2019,2581.5,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2019,29.4,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2019,1666.9,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2019,19,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2019,-516.5,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2019,-6.3,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2019,-10.8,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2019,2391,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2019,15,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2019,1802,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2019,12.6,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2019,69.94,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2019,722,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2019,901,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2019,5,Actual
Other memo items,Population,Population,"Million, Level",2019,12.4,Actual
Other memo items,Population,Annual change in population,%,2019,2.5,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2019,847,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2019,46.52202608,Actual
Other memo items,Laborforce,Working age population,16+ years,2019,7320998.945,Actual
Other memo items,Laborforce,Labour force participation rate,%,2019,55,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2020,9893,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2020,10467,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2020,8830,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2020,2278,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2020,1613,Actual
Real Sector,GDP and components,Services,Constant prices,2020,4133,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2020,7.6,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2020,3.7,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2020,7.7,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2020,34.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2020,9.9,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2020,24.8,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2020,23.9,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2020,-1.1,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2020,25,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2020,1407.5,Actual
External sector,Exports,Exports of services,"Million USD, Level",2020,532.9,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2020,1940,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2020,18.5,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2020,3057.8,Actual
External sector,Imports,Imports of services,"Million USD,Level",2020,541.8,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2020,3600,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2020,34.4,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2020,-1650,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2020,-15.8,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2020,-1238,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2020,-11.8,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2020,152.6,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2020,1.5,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2020,1.15,Actual
External sector,Tourism,Tourism Receipts,"Million USD, Level",2020,120.5,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2020,6.2,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2020,45,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2020,9.3,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2020,35.6,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2020,2203.1,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2020,22.9,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2020,1475.608714,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2020,15.3,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2020,437.6,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2020,4.5,Actual
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2020,2934.2,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2020,30.4,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2020,1901.1,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2020,19.7,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2020,-731.1,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2020,-8.9,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2020,-13.56,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2020,2420,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2020,1,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2020,2386,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2020,32.9,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2020,164.44,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2020,135,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2020,945,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2020,5,Actual
Other memo items,Population,Population,"Million, Level",2020,12.7,Actual
Other memo items,Population,Annual change in population,%,2020,2.4,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2020,824,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2020,45.05322302,Actual
Other memo items,Laborforce,Working age population,16+ years,2020,7563918.128,Actual
Other memo items,Laborforce,Labour force participation rate,%,2020,56.5,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2021,11125,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2021,11233,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2021,9789,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2021,2424,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2021,1828,Actual
Real Sector,GDP and components,Services,Constant prices,2021,4624,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2021,3.7,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2021,1.9,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2021,0.8,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2021,34.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2021,10.7,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2021,24,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2021,25,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2021,-1.5,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2021,26.5,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2021,1531.3,Actual
External sector,Exports,Exports of services,"Million USD, Level",2021,617.4,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2021,2149,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2021,19.1,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2021,3189.5,Actual
External sector,Imports,Imports of services,"Million USD,Level",2021,741.8,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2021,3931,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2021,35,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2021,-1658,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2021,-14.8,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2021,-1207,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2021,-10.7,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2021,233.4,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2021,2.1,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2021,1.33,Actual
External sector,Tourism,Tourism Receipts,"Million USD, Level",2021,149.9,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2021,5.2,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2021,48,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2021,10.6,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2021,37.8,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2021,2573.2,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2021,24.5,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2021,1621.689282,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2021,15.4,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2021,566.1,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2021,5.4,Actual
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2021,3344.2,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2021,31.9,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2021,2089.4,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2021,19.9,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2021,-771.1,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2021,-8.7,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2021,-14.13,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2021,2854,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2021,18,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2021,2743,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2021,14.8,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2021,540.64,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2021,229,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2021,990,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2021,5,Actual
Other memo items,Population,Population,"Million, Level",2021,13,Actual
Other memo items,Population,Annual change in population,%,2021,2.4,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2021,864,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2021,46.50115252,Actual
Other memo items,Laborforce,Working age population,16+ years,2021,7812992.579,Actual
Other memo items,Laborforce,Labour force participation rate,%,2021,61,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2022,14164,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2022,13712,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2022,10588,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2022,2461,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2022,1918,Actual
Real Sector,GDP and components,Services,Constant prices,2022,5187,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2022,15.9,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2022,21.6,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2022,13.9,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2022,34.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2022,9.2,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2022,25.5,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2022,25.2,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2022,-0.4,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2022,25.6,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2022,2112.5,Actual
External sector,Exports,Exports of services,"Million USD, Level",2022,886.4,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2022,2999,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2022,21.9,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2022,4100.4,Actual
External sector,Imports,Imports of services,"Million USD,Level",2022,876.5,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2022,4977,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2022,36.3,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2022,-1988,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2022,-14.5,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2022,-1240,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2022,-9,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2022,305.1,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2022,2.2,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2022,2.92,Actual
